,importance,stddev,p_value,n,p99_high,p99_low
aud107_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e480,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb418_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud109_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud19_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb146_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb170_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud110_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e466,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb79_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb79_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb148_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb664_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb148_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud111_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb148_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb300_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb551_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb400_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud114_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud115_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e373,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud123_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb479_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb479_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb689_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud72_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud72_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud72_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb129_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb996_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb864_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud127_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e334,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb242_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb667_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb129_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb436_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb436_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb585_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb585_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb723_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb723_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb436_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb723_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb723_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb518_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud68_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb360_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb360_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud125_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb592_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud64_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1000_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1000_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1000_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb106_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1000_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb1000_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud123_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud123_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud124_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud25_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb987_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud64_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb365_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud33_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb853_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb853_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
