,importance,stddev,p_value,n,p99_high,p99_low
e123,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb909_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
e294,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb198_std,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb5_max,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb471_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
e285,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb871_std,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb730_50%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb347_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb389_std,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb909_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
e324,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb670_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb649_50%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
e167,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb202_mean,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb358_75%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb935_min,0.01048846269103972,0.003114265761286569,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb223_50%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb132_25%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb828_50%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb23_mean,0.01048846269103972,0.003114265761286569,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb871_25%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb993_25%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
e133,0.01048846269103972,0.003114265761286569,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb871_min,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb548_50%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb196_50%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb649_mean,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
aud79_min,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
e416,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb1002_75%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb1002_mean,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb841_25%,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb898_25%,0.01048846269103972,0.003114265761286569,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb389_min,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
aud118_mean,0.01048846269103972,0.0031142657612865695,0.014076323293817878,3,0.02833355085571114,-0.0073566254736317
rgb40_mean,0.009397355216953543,0.00437672298587355,0.03265090044691113,3,0.034476463277079865,-0.015681752843172782
rgb801_75%,0.009397355216953543,0.00437672298587355,0.03265090044691113,3,0.034476463277079865,-0.015681752843172782
rgb468_max,0.009397355216953543,0.00437672298587355,0.03265090044691113,3,0.034476463277079865,-0.015681752843172782
rgb993_mean,0.009397355216953543,0.00437672298587355,0.03265090044691113,3,0.034476463277079865,-0.015681752843172782
