,importance,stddev,p_value,n,p99_high,p99_low
e218,0.002412008794987597,0.011789558051812407,0.3784725614979969,3,0.0699674838197618,-0.0651434662297866
e153,0.0023782364207897144,0.002924773400150139,0.1471766052355269,3,0.019137512342637525,-0.014381039501058096
rgb475_min,0.0023782364207897144,0.002924773400150139,0.1471766052355269,3,0.019137512342637525,-0.014381039501058096
rgb683_std,0.0023782364207897144,0.002924773400150139,0.1471766052355269,3,0.019137512342637525,-0.014381039501058096
rgb999_min,0.0021279806983160268,0.010604933767450642,0.3806723067408251,3,0.06289542720630968,-0.05863946580967763
rgb826_50%,0.0019840312943761504,0.0051430627427811225,0.28640602935770987,3,0.031454351143845365,-0.027486288555093066
rgb829_25%,0.0019840312943761504,0.0051430627427811225,0.28640602935770987,3,0.031454351143845365,-0.027486288555093066
rgb937_25%,0.0019840312943761504,0.0051430627427811225,0.28640602935770987,3,0.031454351143845365,-0.027486288555093066
rgb396_75%,0.0016835016835017313,0.011553124542704466,0.41215414080806456,3,0.06788418648209728,-0.06451718311509382
rgb807_75%,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb478_mean,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb355_min,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb555_mean,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb642_mean,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb500_mean,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
aud63_max,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb778_max,0.0016511266511266554,0.0028598352494824193,0.21132486540518713,3,0.018038299768415665,-0.014736046466162354
rgb781_mean,0.0013975691230711333,0.009290621576503963,0.40940673899855856,3,0.054633861027978965,-0.0518387227818367
rgb1015_max,0.0013975691230711333,0.009290621576503963,0.40940673899855856,3,0.054633861027978965,-0.0518387227818367
aud59_mean,0.0013975691230711333,0.009290621576503963,0.40940673899855856,3,0.054633861027978965,-0.0518387227818367
aud114_std,0.0013975691230711333,0.009290621576503963,0.40940673899855856,3,0.054633861027978965,-0.0518387227818367
rgb545_min,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
rgb795_25%,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
rgb951_std,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
rgb421_50%,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
rgb225_50%,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
e434,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
e357,0.001355618376895018,0.002347999904456227,0.21132486540518713,3,0.014809918207861131,-0.012098681454071095
